month,start,end,value
january,0,1,2
january,1,2,0
january,2,3,0
january,3,4,1
january,4,5,1
january,5,6,0
january,6,7,0
january,7,8,0
january,8,9,0
january,9,10,0
january,10,11,1
january,11,12,1
january,12,13,0
january,13,14,0
january,14,15,0
january,15,16,0
january,16,17,0
january,17,18,1
january,18,19,1
january,19,20,0
january,20,21,0
january,21,22,0
january,22,23,0
january,23,24,0
january,24,25,1
january,25,26,1
january,26,27,0
january,27,28,0
january,28,29,0
january,29,30,0
january,30,31,0
february,0,1,1
february,1,2,1
february,2,3,0
february,3,4,0
february,4,5,0
february,5,6,0
february,6,7,0
february,7,8,1
february,8,9,1
february,9,10,0
february,10,11,0
february,11,12,0
february,12,13,0
february,13,14,0
february,14,15,1
february,15,16,1
february,16,17,0
february,17,18,0
february,18,19,0
february,19,20,0
february,20,21,0
february,21,22,1
february,22,23,1
february,23,24,0
february,24,25,0
february,25,26,0
february,26,27,0
february,27,28,0
march,0,1,1
march,1,2,1
march,2,3,0
march,3,4,0
march,4,5,0
march,5,6,0
march,6,7,0
march,7,8,1
march,8,9,1
march,9,10,0
march,10,11,0
march,11,12,0
march,12,13,0
march,13,14,0
march,14,15,1
march,15,16,1
march,16,17,0
march,17,18,0
march,18,19,0
march,19,20,0
march,20,21,0
march,21,22,1
march,22,23,1
march,23,24,0
march,24,25,0
march,25,26,0
march,26,27,0
march,27,28,0
march,28,29,1
march,29,30,1
march,30,31,0
april,0,1,0
april,1,2,0
april,2,3,0
april,3,4,0
april,4,5,1
april,5,6,1
april,6,7,0
april,7,8,0
april,8,9,0
april,9,10,0
april,10,11,0
april,11,12,1
april,12,13,1
april,13,14,0
april,14,15,0
april,15,16,0
april,16,17,0
april,17,18,0
april,18,19,1
april,19,20,1
april,20,21,2
april,21,22,0
april,22,23,0
april,23,24,0
april,24,25,0
april,25,26,1
april,26,27,1
april,27,28,0
april,28,29,0
april,29,30,0
may,0,1,2
may,1,2,0
may,2,3,1
may,3,4,1
may,4,5,0
may,5,6,0
may,6,7,0
may,7,8,2
may,8,9,0
may,9,10,1
may,10,11,1
may,11,12,0
may,12,13,0
may,13,14,0
may,14,15,0
may,15,16,0
may,16,17,1
may,17,18,1
may,18,19,0
may,19,20,0
may,20,21,0
may,21,22,0
may,22,23,0
may,23,24,1
may,24,25,1
may,25,26,0
may,26,27,0
may,27,28,0
may,28,29,2
may,29,30,0
may,30,31,1
june,0,1,1
june,1,2,0
june,2,3,0
june,3,4,0
june,4,5,0
june,5,6,0
june,6,7,1
june,7,8,1
june,8,9,2
june,9,10,0
june,10,11,0
june,11,12,0
june,12,13,0
june,13,14,1
june,14,15,1
june,15,16,0
june,16,17,0
june,17,18,0
june,18,19,0
june,19,20,0
june,20,21,1
june,21,22,1
june,22,23,0
june,23,24,0
june,24,25,0
june,25,26,0
june,26,27,0
june,27,28,1
june,28,29,1
june,29,30,0
july,0,1,0
july,1,2,0
july,2,3,0
july,3,4,0
july,4,5,1
july,5,6,1
july,6,7,0
july,7,8,0
july,8,9,0
july,9,10,0
july,10,11,0
july,11,12,1
