chromosome,start,end,value
chr1,0,249999,0.006876
chr1,250000,499999,0.005604
chr1,500000,749999,0.008192
chr1,750000,999999,0.004948
chr1,1000000,1249999,0.003928
chr1,1250000,1499999,0.003736
chr1,1500000,1749999,0.0034
chr1,1750000,1999999,0.003712
chr1,2000000,2249999,0.003624
chr1,2250000,2499999,0.003748
chr1,2500000,2749999,0.004944
chr1,2750000,2999999,0.003916
chr1,3000000,3249999,0.004368
chr1,3250000,3499999,0.003752
chr1,3500000,3749999,0.004292
chr1,3750000,3999999,0.003572
chr1,4000000,4249999,0.003876
chr1,4250000,4499999,0.005496
chr1,4500000,4749999,0.004456
chr1,4750000,4999999,0.003804
chr1,5000000,5249999,0.004124
chr1,5250000,5499999,0.002456
chr1,5500000,5749999,0.00458
chr1,5750000,5999999,0.003572
chr1,6000000,6249999,0.002904
chr1,6250000,6499999,0.003024
chr1,6500000,6749999,0.003092
chr1,6750000,6999999,0.002272
chr1,7000000,7249999,0.002788
chr1,7250000,7499999,0.003852
chr1,7500000,7749999,0.002868
chr1,7750000,7999999,0.004132
chr1,8000000,8249999,0.00396
chr1,8250000,8499999,0.002804
chr1,8500000,8749999,0.00198
chr1,8750000,8999999,0.003416
chr1,9000000,9249999,0.003476
chr1,9250000,9499999,0.003552
chr1,9500000,9749999,0.002172
chr1,9750000,9999999,0.002132
chr1,10000000,10249999,0.001932
chr1,10250000,10499999,0.002848
chr1,10500000,10749999,0.002996
chr1,10750000,10999999,0.003556
chr1,11000000,11249999,0.003036
chr1,11250000,11499999,0.003092
chr1,11500000,11749999,0.004008
chr1,11750000,11999999,0.003792
chr1,12000000,12249999,0.004456
chr1,12250000,12499999,0.001308
chr1,12500000,12749999,0.003636
chr1,12750000,12999999,0.009628
chr1,13000000,13249999,0.00572
chr1,13250000,13499999,0.006112
chr1,13500000,13749999,0.00714
chr1,13750000,13999999,0.003348
chr1,14000000,14249999,0.004672
chr1,14250000,14499999,0.003392
chr1,14500000,14749999,0.003496
chr1,14750000,14999999,0.003224
chr1,15000000,15249999,0.003896
chr1,15250000,15499999,0.004616
chr1,15500000,15749999,0.003848
chr1,15750000,15999999,0.002764
chr1,16000000,16249999,0.003764
chr1,16250000,16499999,0.003468
chr1,16500000,16749999,0.005664
chr1,16750000,16999999,0.017044
chr1,17000000,17249999,0.00532
chr1,17250000,17499999,0.00464
chr1,17500000,17749999,0.004504
chr1,17750000,17999999,0.002956
chr1,18000000,18249999,0.00406
chr1,18250000,18499999,0.003528
chr1,18500000,18749999,0.003796
chr1,18750000,18999999,0.003876
chr1,19000000,19249999,0.004256
chr1,19250000,19499999,0.002852
chr1,19500000,19749999,0.0042
chr1,19750000,19999999,0.003516
chr1,20000000,20249999,0.003536
chr1,20250000,20499999,0.003492
chr1,20500000,20749999,0.002564
chr1,20750000,20999999,0.004244
chr1,21000000,21249999,0.00244
chr1,21250000,21499999,0.003512
chr1,21500000,21749999,0.0049
chr1,21750000,21999999,0.003416
chr1,22000000,22249999,0.004624
chr1,22250000,22499999,0.004528
chr1,22500000,22749999,0.002668
chr1,22750000,22999999,0.003408
chr1,23000000,23249999,0.003268
chr1,23250000,23499999,0.00272
chr1,23500000,23749999,0.003268
chr1,23750000,23999999,0.002408
chr1,24000000,24249999,0.003696
chr1,24250000,24499999,0.003984
chr1,24500000,24749999,0.003132
chr1,24750000,24999999,0.002808
chr1,25000000,25249999,0.003256
chr1,25250000,25499999,0.003748
chr1,25500000,25749999,0.00346
chr1,25750000,25999999,0.002636
chr1,26000000,26249999,0.00314
chr1,26250000,26499999,0.003092
chr1,26500000,26749999,0.00302
chr1,26750000,26999999,0.00156
chr1,27000000,27249999,0.00206
chr1,27250000,27499999,0.002112
chr1,27500000,27749999,0.001832
chr1,27750000,27999999,0.00214
chr1,28000000,28249999,0.003088
chr1,28250000,28499999,0.002456
chr1,28500000,28749999,0.002424
chr1,28750000,28999999,0.001988
chr1,29000000,29249999,0.002648
chr1,29250000,29499999,0.00248
chr1,29500000,29749999,0.00356
chr1,29750000,29999999,0.002868
chr1,30000000,30249999,0.004016
chr1,30250000,30499999,0.003756
chr1,30500000,30749999,0.010876
chr1,30750000,30999999,0.005032
chr1,31000000,31249999,0.00262
chr1,31250000,31499999,0.003396
chr1,31500000,31749999,0.004644
chr1,31750000,31999999,0.00272
chr1,32000000,32249999,0.002164
chr1,32250000,32499999,0.001624
chr1,32500000,32749999,0.00174
chr1,32750000,32999999,0.003164
chr1,33000000,33249999,0.002128
chr1,33250000,33499999,0.002884
chr1,33500000,33749999,0.003108
chr1,33750000,33999999,0.003716
chr1,34000000,34249999,0.004776
chr1,34250000,34499999,0.012176
chr1,34500000,34749999,0.003116
chr1,34750000,34999999,0.009248
chr1,35000000,35249999,0.0034
chr1,35250000,35499999,0.00326
chr1,35500000,35749999,0.002112
chr1,35750000,35999999,0.001888
chr1,36000000,36249999,0.001548
chr1,36250000,36499999,0.002244
chr1,36500000,36749999,0.002976
chr1,36750000,36999999,0.003172
chr1,37000000,37249999,0.002752
chr1,37250000,37499999,0.004168
chr1,37500000,37749999,0.003372
chr1,37750000,37999999,0.002824
chr1,38000000,38249999,0.002492
chr1,38250000,38499999,0.002596
chr1,38500000,38749999,0.003324
chr1,38750000,38999999,0.002868
chr1,39000000,39249999,0.003884
chr1,39250000,39499999,0.00284
chr1,39500000,39749999,0.002624
chr1,39750000,39999999,0.003356
chr1,40000000,40249999,0.003504
chr1,40250000,40499999,0.002628
chr1,40500000,40749999,0.009768
chr1,40750000,40999999,0.002996
chr1,41000000,41249999,0.003284
chr1,41250000,41499999,0.003644
chr1,41500000,41749999,0.003308
chr1,41750000,41999999,0.003288
chr1,42000000,42249999,0.004932
chr1,42250000,42499999,0.004272
chr1,42500000,42749999,0.003852
chr1,42750000,42999999,0.00262
chr1,43000000,43249999,0.003528
chr1,43250000,43499999,0.005536
chr1,43500000,43749999,0.002156
chr1,43750000,43999999,0.002892
chr1,44000000,44249999,0.002544
chr1,44250000,44499999,0.002548
chr1,44500000,44749999,0.002396
chr1,44750000,44999999,0.002772
chr1,45000000,45249999,0.003284
chr1,45250000,45499999,0.005688
chr1,45500000,45749999,0.004204
chr1,45750000,45999999,0.002892
chr1,46000000,46249999,0.002968
chr1,46250000,46499999,0.002576
chr1,46500000,46749999,0.003096
chr1,46750000,46999999,0.003756
chr1,47000000,47249999,0.005116
chr1,47250000,47499999,0.006256
chr1,47500000,47749999,0.00334
chr1,47750000,47999999,0.00282
chr1,48000000,48249999,0.002812
chr1,48250000,48499999,0.007212
chr1,48500000,48749999,0.002944
chr1,48750000,48999999,0.002912
chr1,49000000,49249999,0.004888
chr1,49250000,49499999,0.003388
chr1,49500000,49749999,0.00188
chr1,49750000,49999999,0.0018
chr1,50000000,50249999,0.003076
chr1,50250000,50499999,0.001888
chr1,50500000,50749999,0.002336
chr1,50750000,50999999,0.001596
chr1,51000000,51249999,0.001948
chr1,51250000,51499999,0.001528
chr1,51500000,51749999,0.002196
chr1,51750000,51999999,0.001568
chr1,52000000,52249999,0.002632
chr1,52250000,52499999,0.003112
chr1,52500000,52749999,0.001672
chr1,52750000,52999999,0.002924
chr1,53000000,53249999,0.003236
chr1,53250000,53499999,0.004236
chr1,53500000,53749999,0.002944
chr1,53750000,53999999,0.0032
chr1,54000000,54249999,0.00252
chr1,54250000,54499999,0.003096
chr1,54500000,54749999,0.003836
chr1,54750000,54999999,0.003888
chr1,55000000,55249999,0.004088
chr1,55250000,55499999,0.00332
chr1,55500000,55749999,0.003776
chr1,55750000,55999999,0.003828
chr1,56000000,56249999,0.002944
chr1,56250000,56499999,0.003028
chr1,56500000,56749999,0.004688
chr1,56750000,56999999,0.003332
chr1,57000000,57249999,0.003596
chr1,57250000,57499999,0.003676
chr1,57500000,57749999,0.003536
chr1,57750000,57999999,0.00358
chr1,58000000,58249999,0.00334
chr1,58250000,58499999,0.003988
chr1,58500000,58749999,0.005696
chr1,58750000,58999999,0.004356
chr1,59000000,59249999,0.003108
chr1,59250000,59499999,0.003404
chr1,59500000,59749999,0.002924
chr1,59750000,59999999,0.002664
chr1,60000000,60249999,0.002796
chr1,60250000,60499999,0.002496
chr1,60500000,60749999,0.00256
chr1,60750000,60999999,0.002576
chr1,61000000,61249999,0.003204
chr1,61250000,61499999,0.002228
chr1,61500000,61749999,0.00308
chr1,61750000,61999999,0.003568
chr1,62000000,62249999,0.0036
