chr,start,end
chr1,61724,98590
chr1,17093246,17114700
chr1,17177034,17262235
chr1,25595936,25663298
chr1,72768487,72811904
chr1,152555177,152585706
chr1,161508780,161656486
chr1,196738612,196749205
chr1,248749183,248810646
chr2,34699316,34737045
chr2,35967374,35987935
chr2,52758742,52781283
chr2,89133113,89501226
chr3,46801806,46849577
chr4,9449290,9486075
chr4,34765596,34824713
chr4,64697458,64708246
chr4,69375337,69485967
chr4,70134669,70229422
chr4,190239463,190318080
chr5,120399125,120479051
chr5,180374524,180407218
chr7,20082332,20130425
chr7,57007830,57185645
chr7,63536202,63555874
chr7,130492123,130590540
chr7,142156283,142179742
chr8,7272170,7372233
chr8,7392248,7403043
chr8,7696250,7777159
chr8,7949221,7973611
chr8,12260916,12275729
chr8,12438737,12482035
chr8,39235592,39324462
chr8,54130076,54144333
chr8,135515958,135541720
chr9,11988660,11999132
chr10,55379720,55463942
chr10,67299837,67314434
chr10,104920206,105033384
chr12,9633859,9707310
chr12,24628434,24991224
chr13,57758259,57776557
chr14,20200172,20423360
chr14,106218574,106723342
chr14,106879820,106918096
chr15,24674740,24707305
chr15,33770122,33782242
chr15,34695311,34830932
chr15,73863425,73878602
chr15,76891500,76902432
chr16,55796378,55816693
chr16,75219844,75280958
chr17,34465090,34543331
chr18,20054212,20065965
chr19,35849482,35861836
chr19,43713366,43756225
chr20,1572124,1593837
chr20,11177287,11190087
chr22,23054204,23223233
chr22,24350518,24396802
chr22,25663974,25918709
chrX,62412126,62473507
chr1,61724,98590
chr1,17011439,17048467
chr1,17082580,17114700
chr1,17177034,17248386
chr1,25595936,25663298
chr1,72768905,72811904
chr1,152555177,152586266
chr1,161508780,161638501
chr1,248718604,248789680
chr2,34699316,34737045
chr2,52758742,52781530
chr2,89133113,89497676
chr3,21804146,21814391
chr3,46801806,46849577
chr3,195446586,195474751
chr4,34764811,34824713
chr4,64697458,64716419
chr4,69375337,69485967
chr4,70120700,70239977
chr4,190211272,190318080
chr5,147360522,147397416
chr5,165918613,165937391
chr5,180374524,180418091
chr7,15999051,16026121
chr7,20082332,20129347
chr7,133785166,133795622
chr7,141769632,141799148
chr7,142156283,142179022
chr8,7392946,7777159
chr8,7949221,7973611
chr8,12260916,12473870
chr8,39235592,39395097
chr8,57964227,57977246
chr8,95523872,95559820
chr9,11991995,12006835
chr10,5739055,5766165
chr10,55379720,55457235
chr10,79257951,79291868
chr10,95250158,95264507
chr12,9633859,9713662
chr13,37927278,37984354
chr13,57712801,57776557
chr14,20200172,20423360
chr14,106197116,106723342
chr14,106879820,106918096
chr15,20585977,20874249
chr15,24674740,24718584
chr15,34695311,34789792
chr16,55798751,55816693
chr17,8291625,8390506
chr17,11855398,12065553
chr17,15051377,15094180
chr17,15968144,16121291
chr17,30496319,30558340
chr17,34443801,34629684
chr17,36495408,36557765
chr17,38795944,38851024
chr17,48896655,48969771
chr17,58020464,58770829
chr17,58916829,58992814
chr17,61114589,61199694
chr17,78098478,78111877
chr18,20054212,20065965
chr18,26171653,26193524
chr19,41761143,41815336
chr19,43703022,43753498
chr20,1561569,1593837
chr22,16055172,16206199
chr22,21728127,21845282
chr22,23040978,23223233
chr22,24283005,24344410
chr22,24350518,24396802
chr22,25663974,25918709
chrX,62286413,62464200
chr1,61724,98590
chr1,17005723,17089337
chr1,17093246,17114700
chr1,17177034,17262235
chr1,25595936,25663298
chr1,72768487,72811136
chr1,152555177,152586528
chr1,161508780,161638501
chr1,248718604,248810646
chr2,34699316,34737045
chr2,52758742,52781530
chr2,89133113,89521934
chr3,60334,77301
chr3,6634725,6652101
chr3,46801806,46847604
chr3,116649861,116823700
chr3,191727768,191742079
chr3,195434103,195474751
chr4,34786489,34824713
chr4,64697458,64708246
chr4,69374930,69489323
chr4,70127633,70229422
chr4,181860848,181971498
chr4,190239463,190318080
chr5,730980,825641
chr5,180360378,180407218
chr7,20082332,20130425
chr7,56976081,57185645
chr7,69517964,69618667
chr7,133785166,133795829
chr7,141769632,141782969
chr7,142476708,142486480
chr8,7303726,7331757
chr8,7696250,7809894
chr8,7935844,7978175
chr8,39230172,39362934
chr9,11988660,12007658
chr9,44209784,44996420
chr10,72798,117527
chr10,129859,142393
chr10,55379720,55456976
chr12,9633859,9713662
chr12,58716450,58730150
chr13,57758259,57776557
chr14,20105480,20423360
chr14,106197116,106723342
chr15,18672481,19190690
chr15,24674740,24718584
chr15,34727161,34830932
chr15,73867076,73878602
chr16,55796378,55816693
chr17,34446916,34629684
chr17,39407342,39430519
chr18,20054212,20065965
chr19,43703022,43756225
chr20,1561642,1593837
chr22,16055172,16206199
chr22,23058930,23223233
chr22,24283005,24344410
chr22,24350518,24396802
chr22,25669570,25918709
chrX,62412126,62473507
chr1,85925,712533
chr1,1627907,1672591
chr1,16871267,17048467
chr1,23277877,23294671
chr1,64396263,64472656
chr1,72756102,72817009
chr1,149041795,149202866
chr1,152555177,152586582
chr1,161830897,161842207
chr1,169233963,169255390
chr1,196738612,196812518
chr2,4216894,4230062
chr2,34699316,34727855
chr2,52754457,52781530
chr2,89133113,89583895
chr2,189567945,189579317
chr3,4121224,4213964
chr3,46801806,46847604
chr3,126737269,126885105
chr3,129746628,129856734
chr3,162545705,162623885
chr3,173153668,173666513
chr3,195416642,195442570
chr4,21368682,21385254
chr4,64697458,64708246
chr4,69426437,69489323
chr4,70127633,70229422
chr5,725195,825641
chr5,68867283,70710447
chr5,180378877,180442908
chr6,32454512,32527272
chr6,77013545,77027294
chr6,78962582,79035173
chr6,103737965,103762049
chr7,133785166,133795829
chr7,143917590,144051219
chr8,7334998,7832042
chr8,11859741,12566650
chr9,44243423,44855725
chr10,56955924,56996718
chr10,67299678,67314434
chr10,135351138,135506692
chr11,25702322,25722138
chr12,11511566,11543374
chr12,132647371,132887378
chr13,38076660,38115110
chr13,57758259,57776557
chr14,19002113,19117985
chr14,19273614,19469508
chr14,42840593,42855705
chr14,106218574,106747087
chr15,19412504,19803358
chr15,27923976,27934503
chr16,63901391,64331123
chr17,34435513,34629684
chr20,24130539,24140927
chr21,32404804,32424699
chr22,23058930,23255556
chrX,47781211,47890814
chrX,76195982,76378832
chrX,88295437,88420722
chrX,88805597,89017371
chrX,91077652,91316310
chrX,92190299,92243399
chrX,95117381,95205813
chr1,1627907,1672591
chr1,64700895,64713765
chr1,72756102,72811904
chr1,112695954,112706116
chr1,148916178,149205434
chr1,152555695,152586582
