sourceId,start,end
1,17011438,17262235
1,144945033,145080039
1,149202543,149691734
2,89133619,89593743
2,117778827,117925535
4,12245591,12570452
8,39235591,39386953
9,44795718,46390902
12,31170943,31310983
14,106246290,106821724
15,22301994,22521201
17,44208144,44364158
21,11084669,14612597
1,17011438,17262235
1,144945033,145080039
1,149157433,149715562
1,196706866,196827843
2,89136116,89501226
2,117778827,117933011
2,188414900,188715580
2,188893656,188995139
2,189129058,189293677
3,75638729,75913502
3,125424460,125668304
3,129716127,129907258
4,4026195,4186049
4,12262990,12565287
5,642720,818743
6,94285529,94440604
7,72239597,72739730
8,12275729,12570377
9,40560848,46390902
10,55224387,55379754
10,96495177,96650349
11,67482647,67728086
12,8409690,8635517
12,80005271,80135755
12,85033644,85141236
13,55684320,55798717
14,106194465,106826100
15,20963589,21139535
15,22380861,22588019
16,69715924,69841459
17,44165803,44428669
19,17418216,17610210
19,20313262,20438925
19,21503434,21727308
19,43255205,43448006
19,53123577,53234909
20,62279544,62409047
21,11084669,14603577
22,39365568,39481998
X,90864846,91070444
X,91556779,92056886
1,17011438,17262235
1,149202543,149691734
1,196706866,196827843
2,89136040,89501226
2,117778827,117925535
4,12261033,12570452
7,83834330,83939779
8,39250960,39386953
9,40552256,46390902
9,68725186,69587268
13,93868944,93988638
14,31085088,31221748
14,41968734,42172353
14,106194465,106303437
14,106342305,106693466
15,22301994,22503861
17,44201376,44364158
X,91699891,92087478
1,17011438,17262235
1,144841150,145033126
2,89133112,89501226
2,117778827,117925535
4,12261033,12565287
8,39235591,39386953
9,44795718,46390902
14,106194465,106747087
15,22301994,22681064
17,44165803,44364158
1,17022269,17262235
2,89133112,89583895
2,117778827,117925535
4,12261033,12570452
5,717367,825641
8,39235591,39386953
14,106246290,106709975
15,22301994,22681064
17,44165803,44364158
21,11084669,14612597
1,148916177,149190306
1,196706866,196812518
2,89136040,89583895
2,242915454,243034674
5,26116348,26224902
8,39235591,39388287
12,8004413,8142626
12,8516457,8644058
14,106194465,106770845
15,22159029,22681064
16,34517294,34647825
17,44208674,44401055
19,20596194,20716377
1,196706866,196823824
2,89133112,89593743
2,242915454,243034674
3,75439781,75913502
3,125396832,125629828
3,129730687,129914958
4,3903702,4185610
5,26124031,26224902
6,94306954,94419833
7,72329779,72761420
7,106549853,106650851
7,109219703,109367010
7,113955913,114087629
7,115749957,115921488
7,118267156,118383122
7,120165759,120321318
7,124324346,124439996
7,127343016,127504564
8,12239823,12570377
8,39235591,39386953
11,71352127,71527699
12,8004413,8142626
12,8412050,8622599
12,19805311,19985796
12,53502438,53771335
12,57198622,57442818
12,62617222,62756622
12,65220367,65329760
12,106903321,107055702
14,105988026,106821724
15,22159029,22681064
15,24477794,24714778
16,34459025,34767493
19,20598431,20716377
19,42184608,42293949
19,43211270,43565519
19,53968383,54265278
21,11084669,14595732
22,22968324,23258603
X,91556779,92056886
1,148662322,149190306
2,89145812,89473820
2,242915454,243026246
5,26116348,26234904
8,39235591,39386953
12,191042,865970
12,875342,11921305
12,11937419,30235581
12,30243710,33294648
12,33308348,34231103
12,34244929,39120155
12,39137966,59015634
12,59031805,59222198
12,59232371,75056986
12,75079369,77897313
12,77926468,90871512
12,90937170,92110716
12,92129614,100096290
12,100124102,101600637
12,101609135,103648822
12,103681877,104694741
12,104698191,112121870
12,112125392,115707433
12,115732992,116236839
12,116245853,118804596
12,118811654,125433692
12,125439806,128514645
12,128531565,131749426
12,131751559,132972643
12,133045901,133777645
13,55654384,55812212
14,42065891,42174515
14,106246290,106820732
15,20532605,20730453
15,22280465,22681064
16,34466559,34765204
19,8192290,8315631
19,20598431,20716377
22,23085353,23258603
X,88499792,88755099
X,91556779,92056886
1,196709223,196816718
2,89136116,89461034
2,242917306,243034674
3,129791336,129896364
5,26116348,26238194
8,12239823,12559835
12,7970721,8123225
14,105988026,106770845
15,22159029,22681064
16,34517294,34740000
19,43211270,43445041
1,144946510,145151716
2,89136040,89593743
2,242915454,243032414
3,129731741,129914958
5,26116348,26220502
8,12239823,12578078
8,39235591,39388287
12,150430,865970
12,875342,8559653
12,8580816,12418611
12,12437418,20946521
12,20957569,25883204
12,25914769,26325379
12,26364849,26567205
12,26586701,34231103
12,34246773,48014214
12,48114366,59222065
12,59227157,60169887
12,60176579,75121306
12,75125934,77898549
12,77899048,80839927
12,80848838,98929114
12,98962070,101195088
12,101222844,111912584
12,111926901,129902226
12,129911460,130992216
12,130999968,131748060
12,131749559,131896165
12,131900123,133777645
14,105988026,106821724
15,22280465,22588019
15,24477794,24718584
16,32654941,33624297
16,34517294,34740000
19,20596194,20716377
22,16102407,17031072
22,23004375,23259859
1,121343784,145257170
1,149040066,149190306
2,89133112,89545331
2,91653934,92090873
2,242915454,243026246
3,129716127,129907258
3,162513447,162625983
8,12239823,12566650
8,39235591,39384112
12,7970721,8123225
14,105988026,106821724
15,22159029,22588019
15,24475194,24718584
16,33169940,33864347
16,34517294,34768275
17,44208144,44401055
19,20596194,20716377
19,43268611,43448006
21,11084669,14635289
22,16102407,16894264
22,23099160,23221264
X,91691906,92056886
1,196706866,196824588
2,89133619,89501226
2,242915454,243034674
3,129711979,129851851
11,71352127,71527699
12,8004413,8123225
14,106197115,106821724
15,20488324,20624194
15,22159029,22681064
15,24514620,24718584
16,34466559,34746181
19,20596194,20716377
22,22968324,23221112
X,91570046,92056886
1,196673619,196935393
2,89136040,89358624
4,69374929,69489323
5,32527302,32671855
5,128748170,128935620
6,52615583,52723976
7,30704159,30806450
7,131239844,131365443
8,7387032,7696249
8,34997579,35212071
8,39235591,39386953
9,33694760,33812752
10,95575682,95683216
14,55502204,55621379
14,106194465,106526954
14,106567088,106899485
15,37292780,37508169
16,34520204,34644305
17,44176972,44364158
17,71837558,72633815
18,43986480,44106331
22,24994813,25099180
X,91556779,92043529
X,93726109,93836251
X,112894452,113019336
X,115007722,115206378
1,16844920,17262235
1,149061968,149190306
1,196709223,196816718
2,89133619,89461034
3,75527170,75733782
4,69374929,69558259
4,93213379,93437469
6,94285529,94439962
7,43259,10563470
7,10579657,13976772
7,13976858,46079709
7,46154496,62706404
7,63166234,99815247
7,99848094,133785759
7,133798546,150695195
7,150700159,157264174
7,157277828,159119708
8,11987714,12554743
13,55692197,55836410
14,106029625,106303437
14,106342305,106526954
14,106574548,106826627
15,24516344,24718584
16,34517294,34642895
17,44165803,44401055
17,71831938,72671620
20,193159,419067
20,2488294,2618308
20,2828523,3116705
20,3185123,3435475
20,7901265,8151701
20,8744479,9031629
20,9683016,9881109
20,10592701,10692989
20,11586237,11880521
20,12296047,12421429
20,12654767,13118902
20,13313170,13479718
20,13830216,14007691
20,21064171,21312923
20,21565666,21730752
20,21782156,22091139
20,22544962,22798558
20,23398738,23553328
20,25304793,25810309
20,29527881,29876317
20,30114251,30337322
20,31397316,31550178
20,32087001,32461708
20,33240403,33585834
20,34334781,34499368
20,34820289,35291087
20,36529578,36635244
20,40261061,40512766
20,43442141,43548739
20,44204771,44455176
20,44588179,44765941
20,45226021,45329847
20,56802891,57115980
20,60703073,60840612
1,16844920,17262235
2,89136040,89461034
2,188446356,188676762
4,92868801,93027966
4,93490527,93685733
5,717367,824436
7,43259,1988703
7,2100674,3370201
7,3381813,4877539
7,4891752,10563470
7,10608347,13976772
7,13976858,17918761
7,18040264,46096132
7,46164562,46993984
7,47032225,47515709
7,47520850,55269952
7,55277964,55637023
7,55655774,62715890
7,63166234,64958610
7,65026480,99841254
7,99848094,142474939
7,142486033,157264585
7,157277828,159119708
8,7371466,7746356
8,12247145,12578078
8,39256049,39386953
14,41993985,42174515
14,106194465,106526954
14,106574548,106821724
16,21770734,22028016
16,34517294,34667676
17,44165803,44364158
17,71837558,72652919
19,20596194,20716377
19,21256801,21391358
21,11084669,14642464
1,17011438,17283075
2,89136040,89593743
4,69374929,69558259
14,105988026,106526954
14,106567088,106826627
16,34517294,34642895
17,44165803,44288579
17,71837558,72690684
19,20580475,20716377
19,21212097,21392852
21,11084669,14603577
1,148662322,149143161
1,248660172,248835914
2,89133619,89461034
14,64759984,64876621
14,106194465,106401664
16,34466559,34601318
17,71837558,72135484
17,72147357,72282891
17,72299217,72474608
17,72481980,72671620
X,91494654,91619825
2,89143756,89593743
2,117811664,117925535
3,162512645,162626591
4,12262990,12569705
5,642720,809794
8,39248730,39386953
14,106246290,106828125
15,22384989,22503861
17,44208144,44364158
19,43262970,43397946
X,88494865,88755099
X,91556779,92119324
2,89143756,89501226
2,188266058,188460512
3,173851073,173961430
4,69371991,69521397
5,717367,825641
7,121196326,121457377
8,12371371,12578078
8,39248730,39386953
10,54999433,55102814
13,55691370,55803605
14,105988026,106303437
14,106342305,106526954
14,106567088,106828125
16,34517294,34667676
17,44208144,44364158
17,71831938,72671620
19,20596194,20716377
22,23139389,23258603
2,13200000,243199373
12,1,133851895
12,1,133851895
9,43600000,68700000
9,43600000,68700000
12,1,133851895
17,1,81195210
X,1,155270560
X,1,155270560
12,1,133851895
14,1,107349540
17,1,81195210
X,1,155270560
12,1,133851895
14,1,107349540
17,1,81195210
20,1,63025520
20,28400001,31500000
12,1,133851895
20,28400001,31500000
20,28400001,31500000
20,28400001,31500000
12,1,115169878
1,61724,86329
1,25596394,25646974
1,26248231,26286840
1,65390094,65412480
1,72768487,72811904
1,104163776,104261194
1,110224373,110242941
1,152555695,152586226
1,196738612,196749849
1,196823306,196892946
1,248749183,248808557
2,34699316,34737045
2,52754457,52781530
2,54690616,54715300
2,89133113,89593743
2,90121404,90135873
2,146864393,146878398
2,234650605,234664902
3,46801806,46849577
3,63991634,64098754
3,129780865,129808799
4,9370691,9486075
4,64697458,64708246
4,70134669,70229422
5,17481600,17515789
5,147359959,147435107
6,78969054,79035173
6,103737965,103762049
6,156088459,156103246
7,76143626,76557212
7,133785166,133798097
7,141693570,141715776
7,143970299,144066935
8,7250369,7832042
8,7935844,8009192
8,11851157,12162770
8,12260916,12419953
8,24970502,24984333
8,39230172,39389112
8,93014835,93024932
9,44209784,44273229
9,44727848,44855725
10,133647133,133659712
11,25608535,25624729
12,150431,203640
12,11512481,11543374
13,56968152,57008042
13,69564058,69598747
13,85435326,85446510
14,24452690,24484459
14,41597551,41657337
14,106197116,106320374
14,106342306,106706125
14,106896604,106934536
15,20935077,22212114
15,27917579,27927794
16,20512770,20532642
17,34437117,34629684
17,44219556,44276548
17,65129923,65140589
18,40881067,40903331
18,76049104,76067494
