sourceId,start,end,yolo
1,100084685,100329143,id=Redon_3301
1,9991494,10535582,id=Redon_3281
1,101666954,101824998,id=Conrad_1319
1,101982802,102224387,id=Redon_2315
1,102126327,102599779,id=Simon-Sanchez_5363
1,102331706,102661257,id=Vissers_365
1,10110880,10354054,id=Conrad_993
1,10119128,10345073,id=Conrad_994
1,10171406,10415218,id=McCarroll_1535
1,103351772,103448763,id=Mills_5507
1,103419390,103636848,id=Mills_5508
1,103592114,104261553,id=Redon_3302
1,103775820,104222684,id=Wong_4238
1,103953433,104257307,id=Iafrate_12
1,103959156,104191444,id=Locke_2048
1,103928647,104230194,id=Sharp_681
1,10225711,10558345,id=Mills_5467
1,105644997,106140984,id=Sharp_682
1,105675854,106112449,id=Sebat_258
1,105766233,106181364,id=Redon_2316
1,105956567,106248191,id=Wong_4239
1,10428287,10814765,id=Wong_4205
1,10487071,10740487,id=Conrad_1314
1,10441417,10783448,id=McCarroll_1536
1,106541046,106724945,id=Redon_3303
1,106468686,106788762,id=Redon_2317
1,10649442,11079839,id=Redon_3282
1,107136583,107261496,id=Tuzun_384
1,107157430,107732047,id=Redon_3304
1,107447533,107604693,id=Redon_2318
1,107997644,108224020,id=Wong_4240
1,1051796,1363371,id=Iafrate_1
1,108282617,109005143,id=Redon_3305
1,108456523,108806765,id=Locke_2049
1,109175669,109519070,id=Wong_4241
1,109898723,110179985,id=Mills_5509
1,110008133,110145181,id=Tuzun_385
1,109840979,110208198,id=McCarroll_1549
1,110007768,110040722,id=McLellan_343
1,111133598,111357848,id=Conrad_1321
1,111093022,111338495,id=McCarroll_1550
1,111005700,111265121,id=Conrad_1320
1,110991907,111341941,id=Conrad_1014
1,111421191,111785587,id=Redon_2319
1,111508163,111756339,id=Redon_2320
1,112332312,112678294,id=Wong_4242
1,112310803,112544515,id=Tuzun_386
1,112329585,112658435,id=Redon_2321
1,112399414,112548230,id=Conrad_1322
1,112769582,112806152,id=Mills_5510
1,112873452,116608051,id=Redon_3306
1,113027220,116586574,id=Redon_2322
1,113126937,113428708,id=Iafrate_13
1,113253780,113514573,id=Conrad_1323
1,113214952,113600487,id=Mills_5511
1,113756020,114047092,id=Conrad_1324
1,951642,1251016,id=Mills_5452
1,114564802,114670080,id=Conrad_1325
1,114447049,114611425,id=McCarroll_1551
1,115625336,115869855,id=Mills_5512
1,116854352,117209484,id=Wong_4243
1,116791537,117266649,id=Redon_3307
1,991110,1339815,id=Redon_3275
1,119708571,120063526,id=Redon_3308
1,119745814,120055718,id=Redon_2323
1,119778700,119968451,id=Conrad_1015
1,119830202,120113779,id=McCarroll_1552
1,119896198,120304773,id=Wong_4244
1,119988034,120319054,id=Wong_4245
1,120028629,121112274,id=Redon_3309
1,120501553,120785461,id=Wong_4246
1,11978725,12438426,id=Sharp_676
1,120560407,120801558,id=Mills_5513
1,120549000,121043007,id=Simon-Sanchez_5194
1,12394215,13844907,id=Redon_3283
1,12609625,12861944,id=Wong_4403
1,12589353,13857553,id=Redon_2298
1,12713594,12841386,id=McCarroll_1537
1,12744637,13633090,id=Sebat_256
1,12764053,13394735,id=Sharp_677
1,12945889,13245308,id=Tuzun_379
1,1144299,2069495,id=Redon_3276
1,13124705,13571134,id=Iafrate_4
1,140876226,141917567,id=Sebat_259
1,14102130,14276525,id=Redon_2299
1,142077140,142483936,id=Sharp_683
1,142530556,144235369,id=Redon_3310
1,142456217,142901610,id=Wong_4247
1,142605656,142914143,id=Sharp_684
1,142547204,144406151,id=Redon_2324
1,142873930,143120067,id=Wong_4248
1,143394237,143690479,id=Tuzun_387
1,143450240,143929088,id=Sebat_260
1,143561456,143901767,id=Sharp_685
1,143533304,143841495,id=Wong_4249
1,143706701,143860412,id=Mills_5514
1,143708573,144089743,id=Locke_2050
1,143735501,143908119,id=McCarroll_1553
1,143891774,144285503,id=Wong_4250
1,143751865,144069955,id=Wong_4251
1,143852313,144479706,id=Simon-Sanchez_5199
1,143978869,144253506,id=Wong_4252
1,144031637,144160537,id=Tuzun_388
1,143993984,144287035,id=Tuzun_389
1,143973775,144156412,id=Mills_5515
1,144026967,144251792,id=Mills_5516
1,144004167,144231654,id=Mills_5517
1,143919302,144155101,id=Mills_5518
1,144013472,144210054,id=Mills_5519
