chromosome,start,end,value
chr1,0,999999,0.006405
chr1,1000000,1999999,0.003694
chr1,2000000,2999999,0.004058
chr1,3000000,3999999,0.003996
chr1,4000000,4999999,0.004408
chr1,5000000,5999999,0.003683
chr1,6000000,6999999,0.002823
chr1,7000000,7999999,0.00341
chr1,8000000,8999999,0.00304
chr1,9000000,9999999,0.002833
chr1,10000000,10999999,0.002833
chr1,11000000,11999999,0.003482
chr1,12000000,12999999,0.004757
chr1,13000000,13999999,0.00558
chr1,14000000,14999999,0.003696
chr1,15000000,15999999,0.003781
chr1,16000000,16999999,0.007485
chr1,17000000,17999999,0.004355
chr1,18000000,18999999,0.003815
chr1,19000000,19999999,0.003706
chr1,20000000,20999999,0.003459
chr1,21000000,21999999,0.003567
chr1,22000000,22999999,0.003807
chr1,23000000,23999999,0.002916
chr1,24000000,24999999,0.003405
chr1,25000000,25999999,0.003275
chr1,26000000,26999999,0.002703
chr1,27000000,27999999,0.002036
chr1,28000000,28999999,0.002489
chr1,29000000,29999999,0.002889
chr1,30000000,30999999,0.00592
chr1,31000000,31999999,0.003345
chr1,32000000,32999999,0.002173
chr1,33000000,33999999,0.002959
chr1,34000000,34999999,0.007329
chr1,35000000,35999999,0.002665
chr1,36000000,36999999,0.002485
chr1,37000000,37999999,0.003279
chr1,38000000,38999999,0.00282
chr1,39000000,39999999,0.003176
chr1,40000000,40999999,0.004724
chr1,41000000,41999999,0.003381
chr1,42000000,42999999,0.003919
chr1,43000000,43999999,0.003528
chr1,44000000,44999999,0.002565
chr1,45000000,45999999,0.004017
chr1,46000000,46999999,0.003099
chr1,47000000,47999999,0.004383
chr1,48000000,48999999,0.00397
chr1,49000000,49999999,0.002989
chr1,50000000,50999999,0.002224
chr1,51000000,51999999,0.00181
chr1,52000000,52999999,0.002585
chr1,53000000,53999999,0.003404
chr1,54000000,54999999,0.003335
chr1,55000000,55999999,0.003753
chr1,56000000,56999999,0.003498
chr1,57000000,57999999,0.003597
chr1,58000000,58999999,0.004345
chr1,59000000,59999999,0.003025
chr1,60000000,60999999,0.002607
chr1,61000000,61999999,0.00302
chr1,62000000,62999999,0.003258
chr1,63000000,63999999,0.003456
chr1,64000000,64999999,0.003222
chr1,65000000,65999999,0.003219
chr1,66000000,66999999,0.003322
chr1,67000000,67999999,0.003222
chr1,68000000,68999999,0.003258
chr1,69000000,69999999,0.002894
chr1,70000000,70999999,0.002684
chr1,71000000,71999999,0.002609
chr1,72000000,72999999,0.00299
chr1,73000000,73999999,0.002885
chr1,74000000,74999999,0.002774
chr1,75000000,75999999,0.002932
chr1,76000000,76999999,0.003632
chr1,77000000,77999999,0.002703
chr1,78000000,78999999,0.002633
chr1,79000000,79999999,0.003594
chr1,80000000,80999999,0.003319
chr1,81000000,81999999,0.003277
chr1,82000000,82999999,0.003409
chr1,83000000,83999999,0.004619
chr1,84000000,84999999,0.002853
chr1,85000000,85999999,0.003518
chr1,86000000,86999999,0.003162
chr1,87000000,87999999,0.002681
chr1,88000000,88999999,0.002684
chr1,89000000,89999999,0.002934
chr1,90000000,90999999,0.002536
chr1,91000000,91999999,0.003833
chr1,92000000,92999999,0.002736
chr1,93000000,93999999,0.002446
chr1,94000000,94999999,0.003438
chr1,95000000,95999999,0.002983
chr1,96000000,96999999,0.003115
chr1,97000000,97999999,0.002378
chr1,98000000,98999999,0.002548
chr1,99000000,99999999,0.003241
chr1,100000000,100999999,0.002981
chr1,101000000,101999999,0.00314
chr1,102000000,102999999,0.003727
chr1,103000000,103999999,0.002951
chr1,104000000,104999999,0.003878
chr1,105000000,105999999,0.00502
chr1,106000000,106999999,0.003337
chr1,107000000,107999999,0.003064
chr1,108000000,108999999,0.003532
chr1,109000000,109999999,0.00275
chr1,110000000,110999999,0.003288
chr1,111000000,111999999,0.003621
chr1,112000000,112999999,0.003751
chr1,113000000,113999999,0.002845
