chrom,chromStart,chromEnd,name,gieStain
chr1,0,2300000,p36.33,gneg
chr1,2300000,5400000,p36.32,gpos25
chr1,5400000,7200000,p36.31,gneg
chr1,7200000,9200000,p36.23,gpos25
chr1,9200000,12700000,p36.22,gneg
chr1,12700000,16200000,p36.21,gpos50
chr1,16200000,20400000,p36.13,gneg
chr1,20400000,23900000,p36.12,gpos25
chr1,23900000,28000000,p36.11,gneg
chr1,28000000,30200000,p35.3,gpos25
chr1,30200000,32400000,p35.2,gneg
chr1,32400000,34600000,p35.1,gpos25
chr1,34600000,40100000,p34.3,gneg
chr1,40100000,44100000,p34.2,gpos25
chr1,44100000,46800000,p34.1,gneg
chr1,46800000,50700000,p33,gpos75
chr1,50700000,56100000,p32.3,gneg
chr1,56100000,59000000,p32.2,gpos50
chr1,59000000,61300000,p32.1,gneg
chr1,61300000,68900000,p31.3,gpos50
chr1,68900000,69700000,p31.2,gneg
chr1,69700000,84900000,p31.1,gpos100
chr1,84900000,88400000,p22.3,gneg
chr1,88400000,92000000,p22.2,gpos75
chr1,92000000,94700000,p22.1,gneg
chr1,94700000,99700000,p21.3,gpos75
chr1,99700000,102200000,p21.2,gneg
chr1,102200000,107200000,p21.1,gpos100
chr1,107200000,111800000,p13.3,gneg
chr1,111800000,116100000,p13.2,gpos50
chr1,116100000,117800000,p13.1,gneg
chr1,117800000,120600000,p12,gpos50
chr1,120600000,121500000,p11.2,gneg
chr1,121500000,125000000,p11.1,acen
chr1,125000000,128900000,q11,acen
chr1,128900000,142600000,q12,gvar
chr1,142600000,147000000,q21.1,gneg
chr1,147000000,150300000,q21.2,gpos50
chr1,150300000,155000000,q21.3,gneg
chr1,155000000,156500000,q22,gpos50
chr1,156500000,159100000,q23.1,gneg
chr1,159100000,160500000,q23.2,gpos50
chr1,160500000,165500000,q23.3,gneg
chr1,165500000,167200000,q24.1,gpos50
chr1,167200000,170900000,q24.2,gneg
chr1,170900000,172900000,q24.3,gpos75
chr1,172900000,176000000,q25.1,gneg
chr1,176000000,180300000,q25.2,gpos50
