chr,start,end
chr1,465,30596
chr1,486,76975
chr1,486,30596
chr1,486,9707
chr1,486,9707
chr1,486,9707
chr1,8256,76975
chr1,23908,30596
chr1,59871,76975
chr1,71096,76975
chr1,71096,76975
chr1,71096,76975
chr1,71096,76975
chr1,71096,76975
chr1,76977,130259
chr1,76977,82255
chr1,77864,111280
chr1,77864,82255
chr1,77864,82255
chr1,77864,82255
chr1,81120,121223
chr1,81120,82255
chr1,82251,126285
chr1,82251,126285
chr1,82251,126121
chr1,82251,125233
chr1,82251,94671
chr1,82251,94671
chr1,82251,94671
chr1,82251,94671
chr1,82251,94671
chr1,82251,88312
chr1,88316,125718
chr1,93321,130259
chr1,95936,116082
chr1,98212,125233
chr1,98454,130259
chr1,100446,130259
chr1,100446,130259
chr1,100446,130259
chr1,100446,130259
chr1,100446,130259
chr1,100446,125233
chr1,100446,119538
chr1,100446,112409
chr1,110917,113184
chr1,111700,130259
chr1,113203,126169
chr1,113735,115088
chr1,114010,115088
chr1,116091,121750
chr1,116098,127830
chr1,116098,127830
chr1,116098,119088
chr1,116375,119712
chr1,120169,126126
chr1,120279,128199
chr1,120553,125788
chr1,120553,125788
chr1,120578,127830
chr1,120851,164343
chr1,120975,125718
chr1,122178,125718
chr1,126849,157644
chr1,127086,166636
chr1,127086,153621
chr1,129327,167280
chr1,129327,167280
chr1,129327,167280
chr1,129327,167280
chr1,129327,166636
chr1,129327,161037
chr1,129327,132871
chr1,130273,166636
chr1,130273,164674
chr1,130273,166636
chr1,130273,166636
chr1,130273,153917
chr1,130273,141682
chr1,130273,138352
chr1,130470,149442
chr1,130470,141313
chr1,144364,167280
chr1,149445,151718
chr1,159237,166636
chr1,165492,167280
chr1,217281,228582
chr1,217281,225384
chr1,217281,225384
chr1,217281,225384
chr1,217281,225384
chr1,217281,225384
chr1,217281,224294
chr1,217486,219475
chr1,217588,221521
chr1,218180,228582
chr1,218180,228582
chr1,219724,224800
chr1,219725,225386
chr1,219725,223648
chr1,219827,224046
chr1,219930,225384
chr1,220669,257570
chr1,221283,225386
chr1,222453,228582
chr1,223103,225386
chr1,225389,257570
chr1,227449,257570
chr1,227449,228582
chr1,228578,257570
chr1,228578,257570
chr1,228578,257568
chr1,228578,257568
chr1,228578,240986
chr1,228578,240986
chr1,228578,240986
chr1,228578,240986
chr1,228578,240986
chr1,228578,234647
chr1,234651,257570
chr1,239638,252000
chr1,242251,257570
chr1,244527,257570
chr1,244775,257570
chr1,246761,257570
chr1,246761,257570
chr1,246761,257570
chr1,246761,257570
chr1,246761,257570
chr1,246761,257568
chr1,246761,257568
chr1,246761,257570
chr1,307583,311127
chr1,307583,461231
chr1,307583,387121
chr1,307583,342609
chr1,307583,342609
chr1,307583,317011
chr1,307583,314534
chr1,307583,311127
chr1,307583,311127
chr1,307583,311127
chr1,307583,311127
chr1,307583,311127
chr1,307583,311127
chr1,307583,311127
chr1,307583,311127
chr1,307583,311127
chr1,307583,311125
chr1,307583,311125
chr1,307583,309984
chr1,307583,309984
chr1,307584,311127
chr1,307584,309984
chr1,310195,451983
chr1,311138,342609
chr1,311138,322797
chr1,311138,322918
chr1,311138,322225
chr1,311138,317690
chr1,311138,315684
chr1,311138,316018
chr1,311139,342609
chr1,311855,316018
chr1,311855,316018
chr1,312375,329849
chr1,313602,342609
chr1,316031,326976
chr1,316031,326976
chr1,316031,322234
chr1,316031,317688
chr1,316721,393885
chr1,316795,342609
chr1,316795,342609
chr1,317292,322523
chr1,317292,322523
chr1,317362,342609
chr1,317362,322101
chr1,317362,320898
chr1,317847,393885
chr1,317847,342609
chr1,317847,342609
chr1,321326,326983
chr1,321853,342609
chr1,323364,326755
chr1,323540,453854
chr1,323990,326976
chr1,326992,342609
chr1,327986,329317
chr1,327986,329063
chr1,329868,332219
chr1,330641,461231
chr1,331772,342609
chr1,342608,393885
chr1,388076,393885
chr1,393913,406463
chr1,393913,406463
chr1,393913,412506
chr1,393913,412506
chr1,393913,412509
chr1,393913,412509
chr1,393913,406463
chr1,393913,406463
chr1,393920,400310
chr1,400314,412509
chr1,412298,426539
chr1,412298,426539
chr1,412298,426539
chr1,412298,426539
chr1,412298,424516
chr1,426559,428045
chr1,450865,461231
chr1,450865,454043
chr1,450865,458740
chr1,450865,451983
chr1,454046,460717
chr1,454046,458126
chr1,454046,456961
chr1,454046,456317
chr1,454048,461231
chr1,454048,461231
chr1,454048,461231
chr1,454048,461231
chr1,454048,461231
chr1,454048,459479
chr1,454632,459685
chr1,455127,461231
chr1,455373,459582
chr1,455771,459684
chr1,459928,461231
chr1,511232,659155
chr1,511232,512350
chr1,511232,638740
chr1,511232,534920
chr1,511232,523977
chr1,511232,512350
chr1,511233,512350
chr1,511233,512350
chr1,523043,535124
chr1,535460,536981
chr1,535460,659155
chr1,535664,645895
chr1,537794,552025
chr1,537794,552025
chr1,537794,552025
chr1,537794,552025
chr1,539817,552025
chr1,551822,576278
chr1,551822,576278
chr1,551822,569880
chr1,551825,576278
chr1,551825,576278
chr1,555996,557019
chr1,563733,576278
chr1,563733,576278
chr1,563733,576278
chr1,563733,576278
chr1,569884,576271
chr1,576306,582106
chr1,576306,652628
chr1,576306,651599
chr1,576306,626811
chr1,583063,659155
chr1,626810,637619
chr1,626810,655747
chr1,626810,659155
chr1,626810,658213
chr1,626810,658212
chr1,626810,652628
chr1,626810,652584
chr1,626810,652584
chr1,626810,652084
chr1,626810,651599
chr1,626810,651599
chr1,626810,647587
chr1,626810,642440
chr1,637292,639521
chr1,638039,659155
chr1,639540,653687
chr1,640122,641446
chr1,640376,641446
chr1,642443,653318
chr1,642443,652613
chr1,642454,648114
chr1,642457,645445
chr1,642734,646070
chr1,646527,658212
chr1,646637,658212
chr1,646911,652154
chr1,646911,652154
chr1,647200,653318
chr1,647209,658212
chr1,647333,652084
chr1,648542,652084
chr1,651756,658212
chr1,651758,653318
chr1,652435,659155
chr1,652435,659155
chr1,652968,658204
chr1,653331,658212
chr1,653331,664284
chr1,653331,664284
chr1,654815,659155
chr1,658224,661619
chr1,658224,661618
chr1,658224,661619
chr1,658224,661619
chr1,658224,661619
chr1,658224,661619
chr1,658224,661619
chr1,658224,661619
chr1,658224,661619
chr1,658224,661619
chr1,658224,660382
chr1,658226,661619
chr1,658226,661619
chr1,658231,661619
chr1,658231,661619
chr1,658236,661619
chr1,661630,665978
chr1,661630,668590
chr1,661630,702417
chr1,661630,702417
chr1,661630,702417
chr1,661630,702417
chr1,661630,702417
chr1,661630,696836
chr1,661630,665035
chr1,661630,665035
chr1,661630,665034
chr1,661630,665035
chr1,661630,665035
chr1,661630,665035
chr1,661630,665035
chr1,661630,665035
chr1,661630,665035
chr1,661630,665035
chr1,661630,665035
chr1,661630,663791
chr1,661632,665035
chr1,661632,665035
chr1,661644,665035
chr1,665046,702417
chr1,665046,741471
chr1,665046,709133
chr1,665046,703964
chr1,665046,700515
chr1,665046,700132
chr1,665046,689461
chr1,665046,677370
chr1,665048,709148
chr1,665048,689757
chr1,665053,693472
chr1,665053,674041
chr1,666189,685287
chr1,666189,677003
chr1,666189,677003
chr1,680054,702417
chr1,685290,687562
chr1,695065,703964
chr1,701275,702417
chr1,701364,708088
chr1,706193,709149
chr1,706193,708740
chr1,706193,708740
chr1,706193,708740
chr1,716910,742535
chr1,730227,742535
chr1,742611,746643
chr1,748903,754654
chr1,752913,754654
chr1,754655,792378
chr1,792436,794789
chr1,792436,794789
chr1,792436,794789
chr1,792436,794789
chr1,792436,794789
chr1,792436,794789
chr1,792436,794237
chr1,792436,794789
chr1,792436,794789
chr1,792438,794789
chr1,792564,794789
chr1,792638,794746
chr1,792972,794789
chr1,792972,794789
chr1,792972,794789
chr1,792972,794789
chr1,792972,794789
chr1,792972,794789
chr1,792973,794789
chr1,793230,794706
chr1,794786,797750
chr1,795436,797750
chr1,795437,797750
chr1,795437,797750
chr1,795437,797750
chr1,795437,797747
chr1,795499,797747
chr1,798123,806587
chr1,798324,804634
chr1,798324,802427
chr1,798327,812660
chr1,798327,800000
chr1,798329,812652
chr1,798329,812652
chr1,798460,812660
chr1,804670,816176
chr1,807225,812660
chr1,812667,814872
chr1,816177,823944
chr1,816177,823944
chr1,816177,823944
chr1,816177,823944
chr1,816177,823944
chr1,882137,885800
chr1,882137,885404
chr1,1001108,1002898
chr1,1002904,1004668
chr1,1369758,1374173
chr1,1389323,1421585
chr1,1421676,1427276
chr1,1429766,1460068
chr1,1432612,1434662
chr1,1457204,1459384
chr1,1557700,1574334
chr1,1576553,1586332
chr1,1588126,1599052
chr1,1607166,1620882
chr1,1620916,1637560
chr1,1642762,1652235
chr1,1654495,1661884
chr1,1661942,1673492
chr1,2469725,2471987
chr1,2472669,2475343
chr1,2488932,2491592
chr1,2497903,2499885
chr1,2573309,2588118
chr1,2573309,2583502
chr1,2573335,2586560
chr1,2573336,2587446
chr1,2573336,2586008
chr1,2573346,2585677
chr1,2573382,2589032
chr1,2576247,2587542
chr1,2579711,2588939
chr1,2583503,2592734
chr1,2585706,2598040
chr1,2586017,2598893
chr1,2586578,2600449
chr1,2587462,2601297
chr1,2587565,2598943
chr1,2588119,2601124
chr1,2588943,2600941
chr1,2589075,2602039
chr1,2602039,2603483
chr1,2603484,2605009
chr1,2605773,2612258
chr1,2613201,2622977
chr1,2621521,2622697
chr1,2621879,2624080
chr1,2622439,2624023
chr1,2622769,2623943
chr1,2675149,2677560
chr1,2675551,2679304
chr1,2677850,2679442
chr1,2679305,2683659
chr1,4003119,4005143
chr1,5637529,5639887
chr1,5637537,5639887
chr1,5651599,5656432
chr1,6167676,6169465
chr1,6167676,6169465
chr1,6167677,6169465
chr1,6167677,6169465
chr1,6410308,6442064
chr1,8593039,8596923
chr1,8595466,8608220
chr1,8595466,8608220
chr1,8599219,8608220
chr1,8636354,8642376
chr1,8636355,8638299
chr1,8636355,8638299
chr1,8875848,8877237
chr1,8876053,8877255
chr1,8876054,8877254
chr1,8876054,8877261
chr1,8876054,8877259
chr1,8876054,8877241
chr1,8876056,8877261
chr1,8876057,8877261
chr1,8876057,8877261
chr1,8876057,8877261
chr1,8876057,8877259
chr1,8876057,8877254
chr1,8876057,8877261
chr1,8876057,8877234
chr1,8876058,8877252
chr1,8876058,8877264
chr1,8876061,8877259
chr1,8876130,8877252
chr1,8876144,8877247
chr1,8876145,8877260
chr1,8876145,8877254
chr1,8876145,8877253
chr1,8876146,8877259
chr1,8876146,8877247
chr1,8876146,8877254
chr1,8876147,8877255
chr1,8876148,8877238
chr1,8876149,8877254
chr1,8876150,8877247
chr1,8876150,8877254
chr1,8876151,8877250
chr1,8876154,8877241
chr1,8876159,8877254
chr1,8876164,8877254
chr1,8876164,8877246
chr1,8876193,8877254
chr1,9709592,9711560
chr1,11004766,11006684
chr1,11004766,11006681
chr1,11004769,11006669
chr1,11004781,11006683
chr1,11902709,11909047
chr1,12762845,12788225
chr1,12762845,12788225
chr1,12771602,12788225
chr1,12793478,12795943
chr1,12794477,12795695
chr1,12794477,12795695
chr1,12800001,12828715
chr1,12800001,12807659
chr1,12802216,12828715
chr1,12802216,12828715
chr1,12802324,12810603
chr1,12802324,12809822
chr1,12802358,12824119
chr1,12802358,12824119
chr1,12802358,12814151
chr1,12819844,12824119
chr1,12819844,12824119
chr1,12819844,12824119
chr1,12822390,12828715
chr1,12829537,12830896
chr1,12829537,12830892
chr1,12829567,12830829
chr1,12833633,12836042
chr1,12833633,12836042
chr1,12837765,12854194
chr1,12837765,12969893
chr1,12837765,12903424
chr1,12850098,12862224
chr1,12854535,12883147
chr1,12856746,12878587
chr1,12856746,12878587
chr1,12856852,12865169
chr1,12856852,12864389
chr1,12874597,12878587
chr1,12874597,12878587
chr1,12915256,12960243
chr1,12916294,12924308
chr1,12917369,12938668
chr1,12917369,12921364
chr1,12917370,12938668
chr1,12917815,12928160
chr1,12926018,12928124
chr1,12928133,12930284
chr1,12934205,12963415
chr1,12934205,12963415
chr1,12934554,12938668
chr1,12934617,12936886
chr1,12963461,12975585
chr1,12967900,12975585
chr1,12970109,12975585
chr1,12970109,12975585
chr1,12970111,12975585
chr1,12970111,12975585
chr1,12970111,12975585
chr1,12970217,12975585
chr1,12970217,12975585
chr1,13025586,13065150
chr1,13025586,13053784
chr1,13025627,13028094
chr1,13026624,13034640
chr1,13026624,13033860
chr1,13027697,13031697
chr1,13027697,13048999
chr1,13027698,13048999
chr1,13028148,13038492
chr1,13028148,13038492
chr1,13036350,13038456
chr1,13038465,13040615
chr1,13044536,13053784
chr1,13044536,13053784
chr1,13044885,13048999
chr1,13044885,13048999
chr1,13044948,13047217
chr1,13053757,13065150
chr1,13054031,13065150
chr1,13054031,13065150
chr1,13065149,13074067
chr1,13065149,13072704
chr1,13065149,13072704
chr1,13065149,13094307
chr1,13065149,13072704
chr1,13065149,13072704
chr1,13065149,13074067
chr1,13067315,13072704
chr1,13072827,13074067
chr1,13094308,13100666
chr1,13094308,13096040
chr1,13094308,13096040
chr1,13094308,13096040
chr1,13104906,13105936
chr1,13104956,13106626
chr1,13104956,13106622
chr1,13112582,13141714
chr1,13132810,13142499
chr1,13132810,13142499
chr1,13132810,13134050
chr1,13132810,13142499
chr1,13134173,13139547
chr1,13134173,13142499
chr1,13134173,13142499
chr1,13134173,13142499
chr1,13134173,13142499
chr1,13192500,13327951
chr1,13198966,13228208
chr1,13198966,13228208
chr1,13202145,13213540
chr1,13218910,13247158
chr1,13219390,13244283
chr1,13219390,13244283
chr1,13223743,13225479
chr1,13223743,13227859
chr1,13225525,13227796
chr1,13232129,13234280
chr1,13234289,13236395
chr1,13234289,13245046
chr1,13238105,13246120
chr1,13238885,13246120
chr1,13241048,13245047
chr1,13258965,13425737
chr1,13274840,13278786
chr1,13279257,13305676
chr1,13281088,13303652
chr1,13283816,13287806
chr1,13293450,13305666
chr1,13297223,13305568
chr1,13298008,13305568
chr1,13300174,13305676
chr1,13310817,13336702
chr1,13344828,13371982
chr1,13344828,13371982
chr1,13348001,13358419
chr1,13363197,13371982
chr1,13367545,13369284
chr1,13367545,13371633
