chromosome,start,end,value
chr1,0,99999,0.01044
chr1,100000,199999,0.00512
chr1,200000,299999,0.00214
chr1,300000,399999,0.00902
chr1,400000,499999,0.00448
chr1,500000,599999,0.00879
chr1,600000,699999,0.00745
chr1,700000,799999,0.00754
chr1,800000,899999,0.00458
chr1,900000,999999,0.00449
chr1,1000000,1099999,0.00361
chr1,1100000,1199999,0.00431
chr1,1200000,1299999,0.00369
chr1,1300000,1399999,0.00326
chr1,1400000,1499999,0.00429
chr1,1500000,1599999,0.0032
chr1,1600000,1699999,0.00446
chr1,1700000,1799999,0.00194
chr1,1800000,1899999,0.00405
chr1,1900000,1999999,0.00413
chr1,2000000,2099999,0.00432
chr1,2100000,2199999,0.00278
chr1,2200000,2299999,0.00415
chr1,2300000,2399999,0.0035
chr1,2400000,2499999,0.00368
chr1,2500000,2599999,0.00686
chr1,2600000,2699999,0.00427
chr1,2700000,2799999,0.0034
chr1,2800000,2899999,0.00394
chr1,2900000,2999999,0.00368
chr1,3000000,3099999,0.00413
chr1,3100000,3199999,0.00432
chr1,3200000,3299999,0.00386
chr1,3300000,3399999,0.00424
chr1,3400000,3499999,0.00375
chr1,3500000,3599999,0.00434
chr1,3600000,3699999,0.00378
chr1,3700000,3799999,0.00561
chr1,3800000,3899999,0.00105
chr1,3900000,3999999,0.00488
chr1,4000000,4099999,0.00403
chr1,4100000,4199999,0.00382
chr1,4200000,4299999,0.00469
chr1,4300000,4399999,0.00523
chr1,4400000,4499999,0.00566
chr1,4500000,4599999,0.00508
chr1,4600000,4699999,0.00389
chr1,4700000,4799999,0.00381
chr1,4800000,4899999,0.0044
chr1,4900000,4999999,0.00347
chr1,5000000,5099999,0.00349
chr1,5100000,5199999,0.00332
chr1,5200000,5299999,0.00595
chr1,5300000,5399999,0.00098
chr1,5400000,5499999,0.00271
chr1,5500000,5599999,0.0038
chr1,5600000,5699999,0.00544
chr1,5700000,5799999,0.00376
chr1,5800000,5899999,0.00407
chr1,5900000,5999999,0.00331
chr1,6000000,6099999,0.00311
chr1,6100000,6199999,0.00295
chr1,6200000,6299999,0.00246
chr1,6300000,6399999,0.00273
chr1,6400000,6499999,0.00357
chr1,6500000,6599999,0.00354
chr1,6600000,6699999,0.00249
chr1,6700000,6799999,0.00294
chr1,6800000,6899999,0.00184
chr1,6900000,6999999,0.0026
chr1,7000000,7099999,0.00328
chr1,7100000,7199999,0.00215
chr1,7200000,7299999,0.00283
chr1,7300000,7399999,0.00357
chr1,7400000,7499999,0.00477
chr1,7500000,7599999,0.00285
chr1,7600000,7699999,0.0031
chr1,7700000,7799999,0.00303
chr1,7800000,7899999,0.00488
chr1,7900000,7999999,0.00364
chr1,8000000,8099999,0.00317
chr1,8100000,8199999,0.00404
chr1,8200000,8299999,0.00464
chr1,8300000,8399999,0.00294
chr1,8400000,8499999,0.00212
chr1,8500000,8599999,0.00208
chr1,8600000,8699999,0.00203
chr1,8700000,8799999,0.00184
chr1,8800000,8899999,0.00362
chr1,8900000,8999999,0.00392
chr1,9000000,9099999,0.00385
chr1,9100000,9199999,0.00307
chr1,9200000,9299999,0.00396
chr1,9300000,9399999,0.00374
chr1,9400000,9499999,0.00295
chr1,9500000,9599999,0.00173
chr1,9600000,9699999,0.0026
chr1,9700000,9799999,0.0019
chr1,9800000,9899999,0.00231
chr1,9900000,9999999,0.00222
chr1,10000000,10099999,0.00126
chr1,10100000,10199999,0.00227
chr1,10200000,10299999,0.00238
chr1,10300000,10399999,0.00262
chr1,10400000,10499999,0.00342
chr1,10500000,10599999,0.00316
chr1,10600000,10699999,0.00303
chr1,10700000,10799999,0.00288
chr1,10800000,10899999,0.00361
chr1,10900000,10999999,0.0037
chr1,11000000,11099999,0.00316
chr1,11100000,11199999,0.00285
chr1,11200000,11299999,0.00261
chr1,11300000,11399999,0.00321
chr1,11400000,11499999,0.00349
chr1,11500000,11599999,0.00388
chr1,11600000,11699999,0.00392
chr1,11700000,11799999,0.00468
chr1,11800000,11899999,0.00425
chr1,11900000,11999999,0.00277
chr1,12000000,12099999,0.00388
chr1,12100000,12199999,0.00617
chr1,12200000,12299999,0.00199
chr1,12300000,12399999,0.00117
chr1,12400000,12499999,0.0012
chr1,12500000,12599999,0.00339
chr1,12600000,12699999,0.00336
chr1,12700000,12799999,0.00602
chr1,12800000,12899999,0.01279
chr1,12900000,12999999,0.0076
chr1,13000000,13099999,0.00665
chr1,13100000,13199999,0.00253
chr1,13200000,13299999,0.00969
chr1,13300000,13399999,0.00879
chr1,13400000,13499999,0.00192
chr1,13500000,13599999,0.01095
chr1,13600000,13699999,0.0045
chr1,13700000,13799999,0.00456
chr1,13800000,13899999,0.00415
chr1,13900000,13999999,0.00206
chr1,14000000,14099999,0.00419
chr1,14100000,14199999,0.00521
chr1,14200000,14299999,0.00379
chr1,14300000,14399999,0.00459
chr1,14400000,14499999,0.00238
chr1,14500000,14599999,0.00412
chr1,14600000,14699999,0.00318
chr1,14700000,14799999,0.00284
chr1,14800000,14899999,0.00289
chr1,14900000,14999999,0.00377
chr1,15000000,15099999,0.00319
chr1,15100000,15199999,0.00411
chr1,15200000,15299999,0.0044
chr1,15300000,15399999,0.00449
chr1,15400000,15499999,0.00509
chr1,15500000,15599999,0.00328
chr1,15600000,15699999,0.00362
chr1,15700000,15799999,0.00444
chr1,15800000,15899999,0.00243
chr1,15900000,15999999,0.00276
chr1,16000000,16099999,0.00266
chr1,16100000,16199999,0.00248
chr1,16200000,16299999,0.00695
chr1,16300000,16399999,0.00346
chr1,16400000,16499999,0.00253
chr1,16500000,16599999,0.00264
chr1,16600000,16699999,0.00315
chr1,16700000,16799999,0.01852
chr1,16800000,16899999,0.01744
chr1,16900000,16999999,0.01502
chr1,17000000,17099999,0.00614
chr1,17100000,17199999,0.00548
chr1,17200000,17299999,0.0047
chr1,17300000,17399999,0.00411
chr1,17400000,17499999,0.00447
chr1,17500000,17599999,0.00618
chr1,17600000,17699999,0.00358
chr1,17700000,17799999,0.00285
chr1,17800000,17899999,0.00265
chr1,17900000,17999999,0.00339
chr1,18000000,18099999,0.00391
chr1,18100000,18199999,0.00405
chr1,18200000,18299999,0.00372
chr1,18300000,18399999,0.00428
chr1,18400000,18499999,0.00301
chr1,18500000,18599999,0.00422
